ID	Name	Latest	HasUnreads	Mentions
C081JKUSD50	northstar_ui	2025-07-16 10:04	true	0
D011CDFLTU7	(DM or MPIM)	2026-01-16 15:03	false	0
D08EGFPRR6K	(DM or MPIM)	2025-12-24 13:02	false	0
GFA6A3YMP	2cc7150bab0c42975	2026-01-20 13:31	true	0
C01N97NE88N	gardening	2025-10-09 13:59	false	0
G01NXCBAJPL	_architecture	2025-07-14 10:16	false	0
C05EE41C9CL	project-comp	2025-09-17 13:19	true	0
C067QCJME6N	rfp-risk-assessments	2025-11-20 13:30	true	0
C08FMM6QT0C	mysql-84-upgrade	2025-06-13 11:02	false	0
D03T744RH9T	(DM or MPIM)	2026-01-16 11:53	false	0
C07DZB8HSKE	application-detection-and-response	2026-01-12 13:10	true	0
C07SKLNBAEB	inventory-ux	2024-10-30 17:30	false	0
C087CKCLY3H	pnc-internal-load-test	2025-01-31 12:23	false	0
C0AA9SLQDCH	mpdm-ren.hardy--chris.edwards--faya.peng--patrick.kearly-1	2026-01-21 14:42	false	0
C08KH7F39PG	_eng-managers	2025-11-03 10:36	false	0
D08442YAKMM	(DM or MPIM)	2026-01-20 09:11	false	0
CLF1X474G	assess	2025-12-08 15:13	true	0
CSZTQADAB	quality_engineering	2025-07-30 10:26	false	0
C03QKKD0KPW	public-api	2025-07-29 15:39	false	0
D043NGHE0F9	(DM or MPIM)	2026-01-21 09:05	false	0
C050JK6T4MP	tools-generative-ai	2025-08-21 08:48	false	0
C05TWKC8FK9	quarterly_product_planning	2025-01-07 10:46	false	0
C07TYQ8RW6N	northstar-event-correlation	2026-01-21 08:42	true	0
CFZL8TXBM	sca	2026-01-20 16:09	true	0
C011RGQU4AG	eop-testing	2026-01-21 16:06	true	0
C02PL70CX9D	vendor-status-notifications	2026-01-21 20:47	true	0
C09F0R4UYRY	assess-in-northstar	2026-01-05 18:46	false	0
GL5MNU75E	customer-creditsuisse	2024-12-03 04:57	false	0
C031U1WPHQW	ext-aws-contrastsecurity-support	2025-11-13 16:55	true	0
D021BMT2EE5	(DM or MPIM)	2026-01-15 16:04	false	0
C067NGXAXK9	pm-eng_leads	2026-01-21 11:40	false	0
C07KSQUNAAW	all-hands	2026-01-20 15:02	false	0
C03HLJJF3DE	customer-dbs	2026-01-21 22:03	true	0
C097C8W43QD	compass-ai	2025-10-17 11:10	false	0
C0A9QE2DLBV	mpdm-faya.peng--ren.hardy--chris.edwards-1	2026-01-21 10:15	false	0
C05H2NVMS0H	aws-bedrock-pilot	2023-09-01 15:12	false	0
C07CFRDQB9R	_ai_how-to-fix	2025-08-11 14:10	false	0
C09AMKDEQSJ	aiml-deployments	2026-01-13 15:52	true	0
D08RUCKL9JL	(DM or MPIM)	2025-05-07 09:38	false	0
CFB60BWM7	contrast-ui	2025-12-11 15:45	true	0
CFK7PDWDB	food	2023-12-24 18:39	false	0
CH2FMJVPW	roadmap	2026-01-16 13:17	true	0
C0A44JDUB0D	northstar-architecture	2026-01-20 10:55	true	0
C01536QE917	release_communication	2026-01-20 15:14	true	0
C043R4Y5FNJ	_aws-solutions-architect-associate-training	2022-10-21 16:38	false	0
C08PXA7V34P	ai-auto-remediation	2026-01-08 12:23	false	0
CBSAE48FL	general	2026-01-20 16:27	true	0
C017ASRB5EX	if-you-build-it-2	2023-11-26 08:20	false	0
C010D9WCZHN	personal_finance	2022-06-14 13:43	false	0
C018UUJ0D8E	openapi	2021-12-20 15:47	false	0
C02981AUPM1	dev-council	2021-11-23 09:00	false	0
C0726G78GL8	engineering_audit_logging	2025-03-19 18:27	false	0
D075J066V4G	(DM or MPIM)	2026-01-13 12:27	true	1
CFXMYV150	hub	2026-01-15 09:20	true	0
C02MTGXCPK7	_ts_team_leads	2025-03-13 15:47	false	0
C055CHBFNNR	iconcall-chat	2026-01-20 08:43	false	0
C056QD5EF38	ai-documentation	2023-07-17 15:15	false	0
C08G859LCDN	project-aws_cost_optimization	2025-11-18 12:53	true	0
C08R3094V6D	gartner-mq-2025	2025-10-13 10:27	false	0
C09339S9YBB	tools-claude_code	2026-01-20 15:30	false	0
D02PBEX4DR7	(DM or MPIM)	2026-01-20 10:53	false	0
C044TU05Q72	pnc-performance-tiger-team	2024-02-23 15:42	false	0
C07A2M9A6BB	fsg_team_cratus	2026-01-15 12:22	true	0
C090L3SUZNV	ai-initiatives	2025-07-23 16:20	false	0
D05U75ULLM9	(DM or MPIM)	2023-09-27 14:53	false	0
C03SPJQ4XTJ	customer-sap	2026-01-20 22:00	true	0
C09KUB0LS4F	_aiml-team	2026-01-21 17:04	false	0
D08PNKN42TC	(DM or MPIM)	2026-01-16 15:48	false	0
C0AAGFUF1H7	mpdm-sean.cullen--chris.edwards--patrick.mcdevitt--shane.schisler--doug.jeremias--hitesh.kapoor-1	2026-01-21 11:25	false	0
C09LLL6S2AZ	_smartfix_anthropic_setup	2025-10-17 08:42	false	0
CFAU264UU	operations	2026-01-21 09:20	true	0
C08NDGBLX8T	northstar-support	2026-01-21 18:20	true	0
C09KKSMLKLZ	redis_to_valkey	2026-01-06 12:56	true	0
C02P5K2G7AR	eng-leadership	2025-02-25 11:56	false	0
C09337U3GN5	_aws_cost_eng_sandbox	2025-06-23 16:02	false	0
DQAPU1XFE	(DM or MPIM)	2026-01-20 08:30	false	0
DQB82PWQ0	(DM or MPIM)	2026-01-05 10:00	false	0
CFFCCBACA	teamserver	2026-01-20 14:03	true	0
CNAKKDV8T	hrteam	2026-01-21 11:36	false	0
C08BQ1LMZ8E	ai_feature_questions	2025-09-30 17:38	false	0
D0A23GDTHDJ	(DM or MPIM)	2026-01-17 12:01	false	0
CFB0K1MTJ	java_agent	2026-01-20 17:25	true	0
CVAPBAY2J	incidentmanagement	2025-12-17 08:49	false	0
CLM9QKKBK	homelab	2026-01-16 11:43	true	0
CQ44DPQF9	tx_y-all	2025-06-13 14:52	true	0
C06QG2TH91B	pnc-performance-brainstorm	2024-04-09 12:56	false	0
C0899E1EK6Y	_eng-leadership	2026-01-21 17:06	false	0
D04NPM7PVDE	(DM or MPIM)	2026-01-16 15:51	false	0
CFFEF6S5V	customer-finra	2026-01-21 11:19	true	0
CJ6CSQ22E	customer-smbc	2026-01-20 13:01	true	0
C02EZ5XCFLN	customer-sec	2026-01-20 12:29	false	0
C043GS69M70	split-io	2026-01-20 18:17	true	0
C08TGK58KTL	project-agent-povs	2025-08-13 10:17	false	0
D08Q0CJE1GE	(DM or MPIM)	2026-01-21 17:36	true	1
CFA6RGA4Q	_engineering	2026-01-21 10:13	false	0
CKZPL2Y5V	customer-nationwide	2026-01-14 15:52	false	0
C028T8JLHNC	teamserver-alarms	2026-01-21 09:01	true	0
C092SSA895K	tune-up-technical-enablement	2026-01-20 16:06	true	0
D02P9GETL3G	(DM or MPIM)	2025-08-21 09:16	false	0
D037R8BTPCH	(DM or MPIM)	2026-01-20 17:50	false	0
CFB9HHQ93	operations-alarms	2026-01-21 20:47	true	0
CFYQ2L1N1	customer-citi	2026-01-20 12:04	true	0
C05T30U2T7F	_cloudeng	2026-01-21 15:28	true	0
CLAM7P6M8	db-insights	2026-01-15 18:04	true	0
C09BN7VEEQ1	product-summit-2025	2025-08-27 16:44	false	0
C08F6S1UYN4	qawolf-contrastsecurity	2026-01-20 11:56	true	0
D09H0JNAE11	(DM or MPIM)	2025-11-05 14:34	false	0
C03RES5CCR5	customer-trimble	2026-01-16 16:16	false	0
C073K99CLLT	ai-engineering-discussion	2026-01-21 11:59	false	0
C07K06P8HR9	control-center-experience-product-team	2025-05-28 12:09	true	0
D01NG6XDV4P	(DM or MPIM)	2026-01-20 15:55	false	0
D068SLDFGQN	(DM or MPIM)	2026-01-21 07:30	true	6
C046J7L5XKJ	platform-public-api	2023-01-13 05:47	false	0
C05A6R552RG	ts_fun	2026-01-16 11:14	true	0
CTJUQ9JMN	get-out	2026-01-05 12:47	true	0
CTZRV47FB	architecture	2025-08-12 09:09	false	0
C07U36FF329	tools-github-copilot	2025-10-28 21:29	false	0
C08JRKKA5U4	container-deployment-help	2025-07-02 12:53	true	0
